Prescription,Drug_pair,Interaction_type,Sentence,DDI_prob,DDI_prob_std,Confidence_DDI,Side effects (left),Side effects (right),Similar approved drugs (left),Similar approved drugs (right),drug1,drug2
0,0_ibuprofen(ibuprofen)_bivalirudin(bivalirudin),74,"The therapeutic efficacy of #Drug2 can be decreased when used in combination with #Drug1.,,,,",0.96181667,5.9604645e-08,1,Apnoea(28.0%);Bacteraemia(13.3%);Blood lactate dehydrogenase increased(10.0%);Constipation(22.0%);Diarrhoea(10.0%);Eosinophilia(23.3%);Flatulence(11.8%);Gastrointestinal disorder(22.0%);Headache(15.8%);Hypoalbuminaemia(10.0%);Hypocalcaemia(12.0%);Hypoglycaemia(12.0%);Hypoproteinaemia(10.0%);Intraventricular haemorrhage(22.0%);Lactic dehydrogenase activity increased(10.0%);Nausea(43.8%);Pneumonia bacterial(10.0%);Respiratory failure(10.0%);Respiratory tract infection(19.0%);Skin lesion(16.0%);Somnolence(22.0%);Thrombocytosis(10.0%);Vomiting(18.8%),Back pain(21.7%);Pain(10.5%),,,ibuprofen(ibuprofen),bivalirudin(bivalirudin)
0,0_bivalirudin(bivalirudin)_ibuprofen(ibuprofen),80,"#Drug2 may increase the anticoagulant activities of #Drug1.,,,,",0.9988061,5.9604645e-08,1,Back pain(21.7%);Pain(10.5%),Apnoea(28.0%);Bacteraemia(13.3%);Blood lactate dehydrogenase increased(10.0%);Constipation(22.0%);Diarrhoea(10.0%);Eosinophilia(23.3%);Flatulence(11.8%);Gastrointestinal disorder(22.0%);Headache(15.8%);Hypoalbuminaemia(10.0%);Hypocalcaemia(12.0%);Hypoglycaemia(12.0%);Hypoproteinaemia(10.0%);Intraventricular haemorrhage(22.0%);Lactic dehydrogenase activity increased(10.0%);Nausea(43.8%);Pneumonia bacterial(10.0%);Respiratory failure(10.0%);Respiratory tract infection(19.0%);Skin lesion(16.0%);Somnolence(22.0%);Thrombocytosis(10.0%);Vomiting(18.8%),,,bivalirudin(bivalirudin),ibuprofen(ibuprofen)
1,1_ibuprofen(ibuprofen)_l-isoleucine(l-isoleucine),10,"The therapeutic efficacy of #Drug1 can be increased when used in combination with #Drug2.,,,,",0.9274713,0.0,1,Apnoea(28.0%);Bacteraemia(13.3%);Blood lactate dehydrogenase increased(10.0%);Constipation(22.0%);Diarrhoea(10.0%);Eosinophilia(23.3%);Flatulence(11.8%);Gastrointestinal disorder(22.0%);Headache(15.8%);Hypoalbuminaemia(10.0%);Hypocalcaemia(12.0%);Hypoglycaemia(12.0%);Hypoproteinaemia(10.0%);Intraventricular haemorrhage(22.0%);Lactic dehydrogenase activity increased(10.0%);Nausea(43.8%);Pneumonia bacterial(10.0%);Respiratory failure(10.0%);Respiratory tract infection(19.0%);Skin lesion(16.0%);Somnolence(22.0%);Thrombocytosis(10.0%);Vomiting(18.8%),,,,ibuprofen(ibuprofen),l-isoleucine(l-isoleucine)
2,2_aspirin(acetylsalicylic acid)_bivalirudin(bivalirudin),74,"The therapeutic efficacy of #Drug2 can be decreased when used in combination with #Drug1.,,,,",0.9989213,5.9604645e-08,1,,Back pain(21.7%);Pain(10.5%),,,aspirin(acetylsalicylic acid),bivalirudin(bivalirudin)
2,2_bivalirudin(bivalirudin)_aspirin(acetylsalicylic acid),80,"#Drug2 may increase the anticoagulant activities of #Drug1.,,,,",0.9936282,0.0,1,Back pain(21.7%);Pain(10.5%),,,,bivalirudin(bivalirudin),aspirin(acetylsalicylic acid)
3,3_aspirin(acetylsalicylic acid)_l-isoleucine(l-isoleucine),10,"The therapeutic efficacy of #Drug1 can be increased when used in combination with #Drug2.,,,,",0.9986169,0.0,1,,,,,aspirin(acetylsalicylic acid),l-isoleucine(l-isoleucine)
3,3_l-isoleucine(l-isoleucine)_aspirin(acetylsalicylic acid),74,"The therapeutic efficacy of #Drug2 can be decreased when used in combination with #Drug1.,,,,",0.46033654,0.0,1,,,,,l-isoleucine(l-isoleucine),aspirin(acetylsalicylic acid)
4,4_paracetamol(acetaminophen)_bivalirudin(bivalirudin),74,"The therapeutic efficacy of #Drug2 can be decreased when used in combination with #Drug1.,,,,",0.96166337,5.9604645e-08,1,,Back pain(21.7%);Pain(10.5%),,,paracetamol(acetaminophen),bivalirudin(bivalirudin)
4,4_bivalirudin(bivalirudin)_paracetamol(acetaminophen),80,"#Drug2 may increase the anticoagulant activities of #Drug1.,,,,",0.9986003,0.0,1,Back pain(21.7%);Pain(10.5%),,,,bivalirudin(bivalirudin),paracetamol(acetaminophen)
5,5_paracetamol(acetaminophen)_l-isoleucine(l-isoleucine),10,"The therapeutic efficacy of #Drug1 can be increased when used in combination with #Drug2.,,,,",0.8062736,0.0,1,,,,,paracetamol(acetaminophen),l-isoleucine(l-isoleucine)
5,5_l-isoleucine(l-isoleucine)_paracetamol(acetaminophen),74,"The therapeutic efficacy of #Drug2 can be decreased when used in combination with #Drug1.,,,,",0.71010214,5.9604645e-08,1,,,,,l-isoleucine(l-isoleucine),paracetamol(acetaminophen)
