Prescription,Drug_pair,DDI_type,Sentence,Predicted class,Score,STD
0,0_ibuprofen(ibuprofen)_bivalirudin(bivalirudin),74,"The therapeutic efficacy of #Drug2 can be decreased when used in combination with #Drug1.,,,,",74,0.96181667,5.9604645e-08
0,0_bivalirudin(bivalirudin)_ibuprofen(ibuprofen),80,"#Drug2 may increase the anticoagulant activities of #Drug1.,,,,",80,0.9988061,5.9604645e-08
1,1_ibuprofen(ibuprofen)_l-isoleucine(l-isoleucine),10,"The therapeutic efficacy of #Drug1 can be increased when used in combination with #Drug2.,,,,",10,0.9274713,0.0
2,2_aspirin(acetylsalicylic acid)_bivalirudin(bivalirudin),74,"The therapeutic efficacy of #Drug2 can be decreased when used in combination with #Drug1.,,,,",74,0.9989213,5.9604645e-08
2,2_bivalirudin(bivalirudin)_aspirin(acetylsalicylic acid),80,"#Drug2 may increase the anticoagulant activities of #Drug1.,,,,",80,0.9936282,0.0
3,3_aspirin(acetylsalicylic acid)_l-isoleucine(l-isoleucine),10,"The therapeutic efficacy of #Drug1 can be increased when used in combination with #Drug2.,,,,",10,0.9986169,0.0
3,3_l-isoleucine(l-isoleucine)_aspirin(acetylsalicylic acid),74,"The therapeutic efficacy of #Drug2 can be decreased when used in combination with #Drug1.,,,,",74,0.46033654,0.0
4,4_paracetamol(acetaminophen)_bivalirudin(bivalirudin),74,"The therapeutic efficacy of #Drug2 can be decreased when used in combination with #Drug1.,,,,",74,0.96166337,5.9604645e-08
4,4_bivalirudin(bivalirudin)_paracetamol(acetaminophen),80,"#Drug2 may increase the anticoagulant activities of #Drug1.,,,,",80,0.9986003,0.0
5,5_paracetamol(acetaminophen)_l-isoleucine(l-isoleucine),10,"The therapeutic efficacy of #Drug1 can be increased when used in combination with #Drug2.,,,,",10,0.8062736,0.0
5,5_l-isoleucine(l-isoleucine)_paracetamol(acetaminophen),74,"The therapeutic efficacy of #Drug2 can be decreased when used in combination with #Drug1.,,,,",74,0.71010214,5.9604645e-08
